23343,21476,-1867
22735,22834,99
22722,22664,-58
21630,22124,494
22407,23207,800
23408,22882,-526
23335,23124,-211
22296,22859,563
22305,22963,658
23269,24607,1338
22872,21862,-1010
22684,23171,487
22491,22241,-250
22704,23078,374
22260,23076,816
22712,21467,-1245
22314,22297,-17
22406,22484,78
22252,23121,869
22565,22699,134
22484,22994,510
25328,22613,-2715
22726,23902,1176
22795,22315,-480
22721,22091,-630
22304,22723,419
22156,21569,-587
22662,23137,475
22766,22293,-473
22726,23202,476
22119,22734,615
23586,23372,-214
22143,22024,-119
22768,25164,2396
22727,23876,1149
22737,22618,-119
22519,22453,-66
21787,22622,835
22731,22880,149
23579,23389,-190
22369,23352,983
22148,22330,182
23160,23475,315
23024,22979,-45
22741,22088,-653
23070,23569,499
22299,22525,226
22575,22280,-295
23102,23017,-85
22710,22981,271
22706,22626,-80
22988,22741,-247
22330,22589,259
23146,22392,-754
22964,22689,-275
22409,23181,772
23026,23507,481
23145,25050,1905
22719,22081,-638
22066,22729,663
22553,22361,-192
22722,22260,-462
22429,22714,285
22724,22297,-427
22608,22641,33
22310,22080,-230
22819,22087,-732
23142,22711,-431
22726,21900,-826
23031,22295,-736
22392,22189,-203
23162,23058,-104
23157,22573,-584
22279,23559,1280
22537,22761,224
23170,22863,-307
22598,22726,128
22264,23165,901
23131,23147,16
23153,22598,-555
21690,22217,527
23234,23847,613
22791,22896,105
23042,23151,109
22715,21862,-853
22894,23143,249
23584,22715,-869
22320,22497,177
23156,22715,-441
22731,22075,-656
22383,23149,766
22834,21278,-1556
22730,22998,268
22555,22715,160
22017,21875,-142
23177,22701,-476
22916,22944,28
22746,21866,-880
22723,22544,-179
22610,23616,1006
23129,22305,-824
22586,22447,-139
22270,23044,774
23334,22742,-592
23065,23154,89
22718,23790,1072
22290,23588,1298
22716,22956,240
22731,22741,10
22372,22914,542
22521,21675,-846
22726,22347,-379
22512,23155,643
23523,23165,-358
21855,22449,594
22445,23157,712
22482,23590,1108
23268,23099,-169
22726,23142,416
22294,22634,340
22705,23310,605
23606,22111,-1495
23172,22288,-884
23157,22328,-829
22733,22625,-108
22279,22973,694
22299,22981,682
22730,22299,-431
23140,23120,-20
23158,23984,826
23711,23323,-388
22909,23159,250
23214,22133,-1081
23046,23285,239
22290,22908,618
23388,22662,-726
22288,22710,422
22731,22686,-45
22805,23143,338
23001,23159,158
22395,22072,-323
22346,22077,-269
22731,22054,-677
22708,23173,465
22280,22721,441
23597,23065,-532
22463,22106,-357
23149,22349,-800
23028,27530,4502
70161,39454,-30707
35837,36027,190
36205,35377,-828
36987,36548,-439
37308,36764,-544
35788,36670,882
34873,37232,2359
37976,36220,-1756
36124,35409,-715
36235,35030,-1205
35536,35384,-152
35373,35013,-360
36203,35369,-834
36155,35385,-770
35383,35377,-6
39056,35391,-3665
36546,36096,-450
36861,35046,-1815
35372,35743,371
35679,36677,998
36371,35818,-553
37616,38765,1149
38585,38352,-233
39332,34516,-4816
35404,35360,-44
37349,36260,-1089
36475,36607,132
35371,35897,526
35804,36228,424
35793,34953,-840
36634,35791,-843
37391,35517,-1874
36233,36878,645
35803,35573,-230
37109,35664,-1445
28882,22725,-6157
23048,22279,-769
22922,22075,-847
23146,23082,-64
22732,22275,-457
23141,22593,-548
22724,24343,1619
23734,22852,-882
22167,23154,987
23140,23155,15
22716,22834,118
22488,22722,234
23126,22307,-819
21670,22299,629
23365,25216,1851
22722,22266,-456
23215,23525,310
23446,22454,-992
22764,23159,395
21663,24429,2766
22763,22890,127
22289,22364,75
22708,24418,1710
27424,26607,-817
23585,23762,177
23061,22843,-218
25819,27600,1781
27244,23930,-3314
23661,22725,-936
23140,23152,12
22721,23140,419
22365,25898,3533
23486,23491,5
22442,23156,714
23079,22371,-708
22936,22062,-874
23145,23182,37
22711,22718,7
21848,22274,426
23081,23926,845
22297,22700,403
22053,22246,193
22413,22291,-122
22708,22713,5
21821,24211,2390
21900,23006,1106
22538,21927,-611
22283,22722,439
22289,22830,541
23263,23589,326
22738,22890,152
22711,22528,-183
22472,22712,240
22170,22721,551
23155,22549,-606
23096,23144,48
22723,22605,-118
23130,24313,1183
22394,22280,-114
21929,22843,914
21461,22128,667
26476,28371,1895
28672,25669,-3003
23727,22513,-1214
22635,22714,79
23153,23500,347
21954,23163,1209
23588,22711,-877
21998,22598,600
22273,22899,626
24197,22968,-1229
23490,22348,-1142
23146,23160,14
22273,23138,865
23154,23147,-7
23149,22714,-435
22710,23461,751
22714,22047,-667
23578,22279,-1299
22710,22589,-121
23149,22222,-927
22717,23816,1099
23144,22489,-655
23908,23579,-329
22009,23465,1456
22080,22819,739
22370,22363,-7
22699,22828,129
22613,22091,-522
22402,22284,-118
23584,23139,-445
22714,22912,198
23139,22451,-688
22232,22043,-189
22202,23021,819
22716,24528,1812
22544,22261,-283
22849,23814,965
22585,23113,528
22697,22613,-84
22269,22464,195
23161,23587,426
22393,23197,804
21852,22710,858
21843,23482,1639
22973,22727,-246
22284,23143,859
21873,23488,1615
23121,22977,-144
22727,22464,-263
22797,22930,133
22710,22707,-3
21432,23815,2383
22265,22224,-41
22321,23150,829
22291,22274,-17
21865,23154,1289
23192,23238,46
22723,22442,-281
22725,22456,-269
23118,23167,49
22134,23758,1624
23110,22050,-1060
22836,23492,656
22380,22635,255
22664,23350,686
22728,22596,-132
22643,22842,199
22966,22456,-510
22718,22072,-646
22360,22526,166
22469,21438,-1031
23080,22445,-635
23158,22449,-709
22766,24190,1424
22702,22124,-578
22601,22141,-460
22717,22288,-429
23574,22811,-763
23946,23676,-270
23142,22649,-493
22630,22798,168
22101,22008,-93
22839,22433,-406
22267,23435,1168
23341,23210,-131
22894,22818,-76
23121,23193,72
21674,23138,1464
22645,22476,-169
23024,22628,-396
21595,22355,760
22728,22257,-471
22663,22816,153
22864,22464,-400
22704,22659,-45
22292,23202,910
22485,22909,424
22703,22724,21
23310,22321,-989
22280,25106,2826
23578,22710,-868
23143,23402,259
22724,23675,951
22575,22333,-242
22879,23264,385
23125,22721,-404
22704,22537,-167
23123,22712,-411
22959,22299,-660
22711,22721,10
23334,23138,-196
22651,23016,365
24859,23401,-1458
22262,22693,431
23149,21865,-1284
22108,22909,801
22356,23058,702
22260,22395,135
23154,22068,-1086
22690,23162,472
22279,22708,429
21794,21681,-113
22621,23135,514
23135,22342,-793
23132,22324,-808
25200,23168,-2032
22828,23575,747
22722,23196,474
22743,23164,421
23449,22981,-468
22052,22756,704
21971,23136,1165
23137,21959,-1178
23146,21694,-1452
22847,22582,-265
22291,22488,197
22695,22737,42
22292,22719,427
24435,22734,-1701
22857,21795,-1062
23554,23123,-431
22642,22717,75
22021,22313,292
23576,22023,-1553
22607,23135,528
21884,22546,662
